Group	D	A	A	B	D	C	A	C	C	C	B	B	B	A	D	D
Sample	642A	711A	612A	621A	742A	631A	611A	732A	632A	731A	722A	721A	622A	712A	741A	641A
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	6.005953	6.184344	0.799812	1.085645	2.332980	0.887676	2.545719	7.299628	3.243925	4.474912	2.786824	0.238725	1.667682	4.694481	1.314130	1.037683
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	6.005953	6.184344	0.799812	1.085645	2.332980	0.887676	2.545719	7.299628	3.243925	4.474912	2.786824	0.238725	1.667682	4.694481	1.314130	1.037683
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	6.005953	6.184344	0.799812	1.085645	2.332980	0.887676	2.545719	7.299628	3.243925	4.474912	2.786824	0.238725	1.667682	4.694481	1.314130	1.037683
Bacteria|Proteobacteria|Epsilonproteobacteria	0.419845	0.568049	1.468604	0.435485	0.027493	0.669295	0.001964	0.277925	0.345964	0.54881	0.469689	1.675055	4.592728	7.262148	0.162741	0.033859
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	0.419845	0.568049	1.468604	0.435485	0.027493	0.669295	0.001964	0.277925	0.345964	0.54881	0.469689	1.675055	4.592728	7.262148	0.162741	0.033859
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0.419845	0.568049	1.468604	0.435485	0.027493	0.669295	0.001964	0.277925	0.345964	0.54881	0.469689	1.675055	4.592728	7.262148	0.162741	0.033859
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Flexispira	0.419845	0.000000	1.468604	0.435485	0.000000	0.669295	0.001964	0.000000	0.345964	0.000000	0.000000	0.000000	4.592728	0.000000	0.000000	0.031867
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter	0.000000	0.568049	0.000000	0.000000	0.027493	0.000000	0.000000	0.277925	0.000000	0.548810	0.469689	1.675055	0.000000	7.262148	0.162741	0.001992
Bacteria|Verrucomicrobia	0.045335	32.314606	0.031288	7.227413	38.633596	0.499444	0.027500	25.855234	1.872278	1.035301	8.859385	27.015736	0.071095	5.617888	23.282070	0.071702
Bacteria|Verrucomicrobia|Verrucomicrobiae	0.045335	32.314606	0.031288	7.227413	38.633596	0.499444	0.027500	25.855234	1.872278	1.035301	8.859385	27.015736	0.071095	5.617888	23.282070	0.071702
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.045335	32.314606	0.031288	7.227413	38.633596	0.499444	0.027500	25.855234	1.872278	1.035301	8.859385	27.015736	0.071095	5.617888	23.282070	0.071702
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	0.045335	32.314606	0.031288	7.227413	38.633596	0.499444	0.027500	25.855234	1.872278	1.035301	8.859385	27.015736	0.071095	5.617888	23.282070	0.071702
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia	0.045335	32.314606	0.031288	7.227413	38.633596	0.499444	0.027500	25.855234	1.872278	1.035301	8.859385	27.015736	0.071095	5.617888	23.282070	0.071702
