CS1	CS2	CS3
Otu193	-0.0236238141086738	-0.0235271308211134	-0.0335753513120016
Otu194	-0.0113807354340408	0.00434160345124316	0.0231801697504945
Otu195	0.0177868654426311	0.00853091752603271	-0.0126279396680016
Otu196	-0.0224327305903287	-0.015153299925597	-0.0188750270523192
Otu197	-0.0139879128366769	0.019249894908288	-0.00228964927545175
Otu198	0.0324759846259015	-0.00244748089748236	-0.0102999334135544
Otu2	-0.118565023952745	-0.0769141853514402	-0.0829001402068379
Otu20	-0.00360527838310816	0.00775992021881001	0.0155398449135924
Otu200	0.00147996720446719	-0.00710825442875229	0.00265137048588214
Otu201	-0.0143771375577386	0.0206167787857535	0.0346434887341246
Otu202	-0.0393066960181355	0.0126749172324576	-0.0208821455813473
Otu203	7.39643786843523e-05	0.0315649312034955	0.0156612107206124
Otu205	-0.00834393383616163	0.00530982556284033	0.00249709312470457
Otu207	-0.0281947672176094	-0.00898206593291154	-0.0627982375468796
Otu208	-0.0187720358709746	-0.000235702715268159	0.00918137760018283
Otu21	-0.0138876101754734	-0.244120386295388	0.0156946354488081
Otu210	0.0137748171540797	0.000853965524121692	0.00474512758797053
Otu212	0.0252357066257221	0.00907929920470225	-0.00587708680789788
Otu213	0.0414996879885359	-0.0887979342699016	0.0141837836693853
Otu214	-0.0150225143762135	0.0090889313512374	0.0226591755943132
Otu215	-0.0339011729805864	0.0156589179856724	-0.0325214275451965
Otu216	-0.0182988073729127	0.0187294436276913	0.0242207357101173
Otu218	0.01308764669754	-0.0285703050277784	-0.00909248754016881
Otu219	-0.028387615315714	0.0287778840931422	0.046487733178961
Otu22	0.0655039836512111	-0.0968312112740045	-0.0543041218009639
Otu222	-0.00365512415514113	0.0181203835666762	0.000163414449928425
Otu223	0.00465209516816126	-0.00281835318172363	-0.000711401728130051
Otu224	-0.00773167617544492	0.0250608561732985	0.0285838623387431
Otu225	0.0164686926200816	0.035977357713179	-0.0201423717416382
Otu227	-0.0157160809781937	-0.011257704831033	-0.0127244840280243
Otu228	-0.00228017825791818	0.00490780447052637	0.00982826088254687
Otu229	-0.010502324230533	0.0302336531800812	0.0272430508931842
Otu23	-0.0675111759962821	-0.0420433468816199	0.0114317357687792
Otu231	-0.00600135493437258	0.0328462534065887	0.0317994146759125
Otu233	-0.0139068308376233	0.00683808307780949	-0.00116089127312431
Otu234	-0.0777963833479591	0.0144481031866812	0.0105500947528055
Otu236	0.0044860663878391	0.00606683652478919	-0.00475567807222744
Otu237	0.0125622789497908	-0.0353633860619075	0.00713818152729018
Otu239	-0.0164561661685901	-0.0052424752574977	-0.0366528378897418
Otu24	-0.0278402153401707	0.0156749523444395	0.0245844726070888
Otu240	-0.0117733275502541	0.0323111199529805	0.0264700079597805
Otu241	-0.00739945307710367	0.003276946389673	-0.00157390582738731
Otu242	0.00698010397979231	-0.0203570856619974	-0.00011463477605531
Otu243	0.006579056080264	-0.00398575329315092	-0.00100607397221718
Otu244	0.00768892550299377	-0.00313931499449822	-0.0204404739440161
Otu245	0.00194633557376563	-0.00276646062907149	-0.0198948819649964
Otu247	-0.00900615036048927	0.0149531449339486	0.0275256174930481
Otu248	-0.0147404654588605	0.00258728286662198	-0.0128149301250984
Otu25	0.0181025345868175	-0.252552419997126	0.0980104548769253
Otu250	-0.00673160432767356	0.00183948374099348	-0.0044525367926148
Otu251	0.00347442737909301	0.0134584407927392	0.0171086426564803
Otu252	0.0170588832623898	0.00793625517527753	-0.0118394924146544
Otu253	-0.0132339363318421	-0.0210995679216339	-0.0122192585531769
Otu255	-0.0105403034337061	0.00205236060983142	0.0266313407722274
Otu257	0.00961282317118481	-0.0185568791226617	0.00442893871024545
Otu258	-0.0189358386380039	0.0188475486752195	0.0236512928652927
Otu259	-0.00161232950848807	0.00347034182184685	0.00694962991731938
Otu26	-0.115711831180946	0.0199107132169498	-0.00855697102217297
Otu261	-0.00174469181250895	-0.000167570785058595	0.0165506303205209
Otu264	0.00893890478470606	0.0177968285202768	0.00781590141698882
Otu265	-0.0276705691510497	-0.00398917505470091	0.00249000799574929
Otu266	0.0196224330890846	-0.0325008948932457	0.00654882516580809
Otu268	-0.0107015130441302	0.0289215853308231	-0.00165764163744136
