Comp1	Comp2	Comp3	Comp4	Comp5	Comp6	Comp7	Comp8	Comp9	Comp10	Comp11	Comp12	Comp13	Comp14	Comp15
Otu119	0.00804482505305376	0.0023073381494222	0.00031420040924003	-0.00516385291999064	-0.00443550113215851	0.00694301490871007	0.000420435653466913	-0.0103286571977993	-0.00602434583504742	-0.00202651809156094	0.00421624787966895	-0.00355619113464373	-0.0018362857696079	0.00457514866634792	0.000289916064181054
Otu12	0.0595780877003154	0.0346097612447714	-0.00268505953924808	0.0588584244344418	0.0249253501392918	-0.00763200691552602	0.011050470392771	0.00821383333851673	0.0315181092247571	0.00802363976875299	-0.00921642372404048	-0.00635497584801893	-0.0102473362225678	0.00481514119780212	0.0233850313180068
Otu120	0.017051968716101	-0.00251117929405039	0.00447146275136462	-0.00422473630689157	-0.00647177995664879	0.000540092650112437	0.00024080663415874	0.013157802453492	-0.00157221545927176	0.00197601053415325	-0.00484794845999775	0.0050688607836225	0.00608980056024127	0.00215101355863384	-0.00342469882876093
Otu121	0.0181726845497594	-0.00348429379972582	0.00284439259657298	0.0017576070496657	0.000365197279217998	-0.000726151259720519	-0.00116198716842168	-0.00400154018761237	-0.00972382244042065	0.000637268003043845	-0.000716028851982577	0.00110395908989524	0.00312288056713282	-0.000722698531983522	0.00109680212570732
Otu122	-0.00258153651190155	0.00250147670496417	-0.0169706431190878	-0.0163137652638601	0.00593577133492446	0.00843633408611732	0.0029014059414078	-0.00031957879818284	-0.00403441288903367	0.00481578091665186	-0.0219212525784057	0.016885929297467	-0.0160404239356118	-0.00041307284890544	-0.00817744107724724
Otu123	-0.0159072045146572	-0.00920125221039462	0.0048503271493812	0.00167726295413074	0.00521782890155526	0.00893857585499997	-0.00191454841700939	0.000227784643582414	-0.00121586887653161	0.00300100307196859	0.000944920103009624	-0.00698732016713441	-0.00345916310471419	0.000132372915083354	-0.00137516700559889
Otu124	-0.00755404144869601	-0.01000989700654	-0.00261385860432546	0.00524294059247479	-0.00617672293913666	-0.00473590859482189	-0.00364500110710337	-0.00360685980725707	0.00211838305781496	-0.00205159116404356	-0.0023325388557547	-0.00244069058620742	-0.00484148540250862	-0.000291330838502666	-0.00227672486656515
Otu125	-0.0114053927562533	0.00477799844114927	0.0109381731695817	-0.00346698771289755	0.000318657667816507	-0.00088206710672292	-0.00437603049821862	-0.000379630235807103	0.00304873151019898	0.00515548467285484	0.011626576695515	0.00872786889314347	0.00295896890164621	0.000157371948801629	0.00224365550095898
Otu126	-0.0037555225083652	-0.00454203722579248	-0.0124005366108244	0.000203332036883991	-0.0104503478475543	0.00385721522823749	0.0152463909645002	0.00847297891055649	-0.00623162918952196	-0.00378239214149921	0.00824901665162948	0.00238906411599488	-0.000728148846782595	0.0130829788032853	0.000642954650168874
Otu127	-0.010469619437634	-0.00540791960672986	-0.00379535506961688	0.00262713458845627	-0.00190273218300145	-0.0114654420455563	-0.00216360685692116	-0.000709970158036574	0.00047214223722425	-0.000857659819160138	0.000487023862825733	-0.00115323289973094	0.000740065054994777	0.000631551904422582	-0.000182721653702039
