CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu87	-0.0233544463109423	-0.0500120273143138	-0.0356363584463115	0.0344830355010309	-0.0427917846945587	-0.00891983763257434	-0.0390545307614198	-0.000383606598680295	0.00504901760609957	0.0189058856048438	-0.0111194225171849	0.0694450588445752	-0.00118066762525557	-0.00214847279467951	-0.0158880072986447
Otu33	-0.0747819820547037	-0.0751375743592496	-0.0892519097507532	0.0912798693441228	-0.0301613615066036	0.0239081832253297	0.0450006981433601	0.0572559032659963	-0.0325038736698838	0.0727795826200213	0.0112719775577065	0.169883417974011	0.0532307077308604	-0.0293216075452251	0.00348836297452884
Otu27	-0.077797471379906	-0.123214459946651	0.0505579888512679	0.00989388414891256	0.0832871628304797	-0.157092314644944	-0.104150118080701	-0.0373019100120515	0.0938547858278782	0.0345976589122141	0.0839686191790214	-0.0690698896011878	-0.0222224201133911	0.0154596992442581	-0.0470105600258262
Otu151	0.0387292988923292	-0.0238068367709203	-0.0225976585578657	-0.0199174612072015	0.0148991186223992	0.00752460669248475	0.0632203074216065	-0.00832823798402263	-0.0297279194982373	0.0155147065155184	0.0148861375781461	-0.0128378969196363	-0.0262952726616491	-0.0589811883173777	0.0166452518182186
Otu123	-0.0394956574513814	-0.0335343407291293	0.0227427276592089	0.00855528292203328	0.0319780321069822	0.0594121545080844	-0.0136367946773452	0.00173605514932124	-0.00945153232275587	-0.0255695051982529	0.00916568249969637	0.0735505626506912	-0.0384850404660954	0.00161379449897276	-0.0179706947946893
Otu564	-0.0302914499572217	0.0024109205521795	0.00466655069084976	-0.0203710744217087	0.0243074707453014	-0.0421158893484635	0.0168023166685179	0.00241056956518047	-0.0351868634710796	-0.0252450969082706	-0.0258256666838355	0.0251583514238234	0.011386936941635	0.0186023587976071	0.00106957685928122
Otu594	-0.00184489024426276	-0.0287517999494033	-0.000896067084541463	0.0040797602970939	0.0100934147513461	0.0465192383821627	0.0150511539434256	-0.0119836378178612	-0.00635058830223864	-0.00567751554712246	0.0089324085254282	0.0872858320588049	-0.0190083313804016	-0.0255014526361534	-0.0119190124745165
Otu77	-0.0512478959313433	-0.0138564760991738	-0.0953229614966089	0.0153292125942105	0.013051120689406	-0.0169072090001194	0.0749357084902596	0.014491519560905	-0.0212047827808035	-0.00637464505107357	-0.0220814966485652	0.00480658974090208	0.0158596493360278	-0.0106801285022434	0.0110531076010762
Otu106	-0.0132098783263464	-0.00204501490380449	-0.0527496291007786	-0.0257430118389023	0.0238386957160302	0.0685401967210198	0.0715837833803433	0.000568731082748541	-0.0261071079356066	-0.026425486758823	-0.0520946027884684	-0.0335338373581196	-0.0450917727380616	-0.020519899837708	1.64970326847902e-05
Otu85	-0.0149155949536943	-0.0229891072301868	-0.0176673867345835	0.0184325685192589	0.0688575796603618	0.0142799134507967	0.0125135204138459	-0.00857878280095977	0.0192935708145713	-0.0256240304972037	-0.0276107918973411	-0.110546610719478	0.0181904323974869	-0.0182276115905434	-0.0805066884249611
