CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15
Otu108	0.049482569822634	0.00253858151973344	0.0270372651488251	0.0568663788548103	-0.023017102004348	0.00361501618341192	-0.0207497426517026	-0.039360646164384	0.00522374581365874	0.00948425556979358	0.0523154783637221	0.0616071433184805	-0.0634967826442879	0.0780864009736271	-0.00189793518949732
Otu109	0.0355076789447689	-0.03817637315899	-0.0353833771280906	0.0446634138723566	-0.034323638581436	0.0486895697945257	0.0276523041419955	-0.0345003356931469	0.068201751892533	-0.0601023579406088	0.00254967649853836	-0.0486220034683981	-0.037681339811451	0.00601939412120325	0.00465385477522192
Otu11	-0.0453085480845836	0.208352429309457	-0.168207451427338	-0.197763187495794	0.0987120162974179	0.164899227642902	0.196753477047772	-0.166333637006751	-0.255605576734132	0.0114724947146399	0.0740049343874663	-0.119052831420332	-0.0156117410420877	0.190924664042487	-0.156636474317036
Otu110	0.00761093768371511	-0.00652811856410486	0.0205901331530126	0.009107888408734	-0.0371829940133033	-0.0163024710592502	-0.0312974766114378	0.00900436626365029	-0.0284210458499727	-0.054693773268693	-0.225505973164454	0.0935048681524654	0.0294698214419638	-0.0449993247049528	-0.0991504175152441
Otu111	-0.0435526648447722	0.0153610792293654	0.0369448589876085	0.0137397038194028	0.0259153621179512	0.0221297773717241	0.0207738346182648	0.0375602533274401	-0.0526212242613718	0.0257021284141634	0.00577566483402879	-0.015049493287012	0.0228143553365231	0.0372890800471992	0.0580384662837384
Otu112	-0.00697011091525209	-0.00656444646608451	-0.024120980527755	-0.00607842203101165	-0.0283681783111433	0.0516646879848909	-0.0188783224846487	-0.0719149907616963	-0.00160683545666004	-0.0554217310231407	-0.035368086013111	0.0127905270911082	-0.000994369871879788	-0.0424674629084257	0.096482871036601
Otu113	-0.016910579265271	-0.00366034287571113	0.0033315047151094	-0.0387261699987297	-0.0580690677042961	-0.0138236899525924	-0.0831482787017694	-0.045808962573688	0.0426717280736963	0.0086968826317611	-0.0693623385329974	0.0212589700042524	-0.025058400526446	-0.0186587447710112	-0.0327616543558104
Otu114	-0.015551702034875	0.0122896523909103	0.0171588356816528	-0.00624208754022056	0.0421074039217984	-0.0726376444612503	0.0174929824351821	-0.0202614592128946	0.0487422614866319	0.0201874850567913	0.0513297585482471	0.00406780529405335	-0.0354786332998878	0.0688537182695511	0.0323093763884641
Otu115	0.00749828052156989	0.0333200940809001	0.0443170441582656	0.0633001145544697	0.00259859858585839	-0.00450826926928092	-0.0269104953300147	-0.0665376512303745	-0.0132177957532057	0.0270609688603686	-0.00576198278146039	-3.92904589466277e-05	0.00453381105298852	-0.0100919255444321	0.00385044864664107
Otu116	-0.05072898602296	-0.0327486810353736	-0.0180732817286518	-0.00153171310388502	-0.00382571799631038	-0.0278774088779744	0.00955591072608403	-0.0200445123902837	0.0181074573521677	0.0651376221376785	-0.0421997730931622	-0.0229443969597866	-0.00824491860430925	-0.00247865972115112	0.0922436093589488
Otu117	-0.011892402939843	0.0364527189133231	-0.0193161793305508	-0.0260652162478724	0.0222821602522426	-0.0188664935013899	0.0522949616123877	-0.0284268315320291	0.0852702013814777	-0.0250145619854757	0.010380301157637	0.036139148828604	-0.0493091529843373	0.0714905678180141	0.01349625406581
Otu118	0.00945799123470179	-0.0127019665226648	0.00873577877396575	0.0144453376584932	-0.0241797597175494	-0.0255890722063921	0.0740683815064148	-0.0191882576961123	-0.0151435875215534	0.0105324226439925	-0.00700473749259618	-0.0407708347067083	0.0328807081290671	-0.0638200958628753	-0.0747568145012401
Otu119	0.0450833591758945	0.0673605611693501	0.0563116778894309	-0.0367826123454209	0.0132588977922484	-0.0412627891795932	-0.078887876202038	0.0210860320414507	-0.0237101403543047	-0.00255683745269991	0.0522156305132432	0.0489499972709405	-0.079749104242067	-0.0181040060301599	0.0504993011036759
Otu12	0.0729267160230799	0.257855699261123	-0.0542981723855428	-0.0439350600759021	0.13951098851947	-0.0727157248164378	0.0970141554881834	-0.0157722218664529	-0.190046822522016	0.102546928752079	0.0480364121266536	0.0930197688295272	-0.0027229857735023	0.0249917214444671	-0.033151282793977
Otu120	-0.0198561684126763	-0.0282177951005314	-0.000113534961292289	0.00604847445420225	-0.00663268693833669	0.00515439687251325	0.00268231716112721	0.00761857242158018	-0.078495073696441	0.0119700815507672	0.0762921268662758	-0.0807873486334905	0.0401842803455168	0.0471431443898217	0.0496705751345106
Otu121	-0.00989422076775748	0.0361185038717129	-0.000743038118589764	-0.0663213783645398	-0.0643142929818224	-0.0184185336928514	-0.0351616197221628	-0.0390497715395827	0.0327331994582802	0.0089918881828384	-0.0863596500969284	-0.0457500151193086	-0.0025223025654146	0.0272113956984592	0.0486891672580025
Otu122	-0.0102628759902217	-0.029982248227035	0.00355967089657203	0.0180245587948119	-0.00995099213442099	0.052364483569491	-0.0355696812188053	0.0314685981538874	0.00164310326913853	0.0274848534587338	0.0439870448592597	-0.0241321974429115	0.0752726064587916	0.0714991746737286	0.048102345266679
Otu123	-0.0430666894517858	-0.0580403561668421	0.0141933657365391	-0.0241711553210585	0.00945502117043942	0.0167031502882033	-0.0153251541977312	-0.0599436773767205	-0.0647425804024068	-0.0246887505531588	0.0272104381152573	-0.0190525499354786	0.0191075591945066	-0.00435923219351777	-0.0276165077965601
