Group	C	A	D	C	A	D	C	A	C	D	D	B	B	A	B	B
Sample	937A	913A	947A	935A	914A	949A	936A	912A	934A	9410A	9411A	929A	9211A	916A	928A	927A
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0.028114	0.218434	0.348587	0.014762	0.000000	1.076962	0.139137	0.021080	0.131157	1.144777	1.709402	0.144776	2.237366	0.258040	0.174950	0.012711
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	3.411665	3.700316	5.302399	3.85098	2.849728	11.834774	10.606374	4.610696	10.048091	7.065829	10.573983	9.088101	7.908781	2.397158	5.651281	2.954368
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0.000000	0.000000	0.290489	0.000000	0.000000	0.011813	0.000000	0.011498	0.001822	0.034202	0.107818	0.615783	0.039000	0.000000	0.014240	0.050843
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium	0.046305	0.759853	0.526754	0.064583	1.150470	0.397708	1.470339	2.171205	1.286068	0.333977	0.478319	0.306926	0.252473	0.157068	0.158675	0.072634
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	1.384180	1.200456	3.557527	2.618371	0.596724	9.952551	5.561719	1.372094	5.610609	5.200789	8.494080	7.787043	5.681678	1.338818	3.503062	2.707414
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	1.981180	1.740007	0.927629	1.168026	1.102534	1.472702	3.574316	1.055899	3.149592	1.496861	1.493766	0.378349	1.935630	0.901272	1.975304	0.123477
Bacteria|Firmicutes|Erysipelotrichi	0.028114	0.444337	0.621647	0.000000	0.578541	0.019689	0.182382	1.055899	0.234990	0.615645	0.243080	0.233573	3.216470	0.037397	0.530952	0.005448
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales	0.028114	0.444337	0.621647	0.000000	0.578541	0.019689	0.182382	1.055899	0.234990	0.615645	0.243080	0.233573	3.216470	0.037397	0.530952	0.005448
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	0.028114	0.444337	0.621647	0.000000	0.578541	0.019689	0.182382	1.055899	0.234990	0.615645	0.243080	0.233573	3.216470	0.037397	0.530952	0.005448
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	0.028114	0.444337	0.621647	0.000000	0.578541	0.019689	0.182382	1.055899	0.234990	0.615645	0.243080	0.233573	3.216470	0.037397	0.530952	0.005448
Bacteria|Proteobacteria	6.466124	4.643131	30.358075	12.794773	7.694597	3.026127	5.279684	12.456163	8.884072	5.474408	18.438799	8.613234	10.103042	3.530291	7.461807	21.750104
Bacteria|Proteobacteria|Betaproteobacteria	0.018191	0.491011	1.138718	0.060892	0.029754	0.348487	0.569710	0.070904	0.836126	0.798728	0.793931	0.932360	1.079683	0.018699	0.591981	0.539304
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.018191	0.491011	1.138718	0.060892	0.029754	0.348487	0.569710	0.070904	0.836126	0.798728	0.793931	0.932360	1.079683	0.018699	0.591981	0.539304
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae	0.018191	0.491011	1.138718	0.060892	0.029754	0.348487	0.569710	0.070904	0.836126	0.798728	0.793931	0.932360	1.079683	0.018699	0.591981	0.539304
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella	0.018191	0.491011	1.138718	0.060892	0.029754	0.348487	0.569710	0.070904	0.836126	0.798728	0.793931	0.932360	1.079683	0.018699	0.591981	0.539304
Bacteria|Proteobacteria|Deltaproteobacteria	2.462419	2.423315	0.24982	1.282429	6.823479	1.143904	2.378491	11.800778	4.803628	0.380251	0.660629	0.884102	0.431052	2.711293	0.144436	0.548383
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	2.462419	2.423315	0.24982	1.282429	6.823479	1.143904	2.378491	11.800778	4.803628	0.380251	0.660629	0.884102	0.431052	2.711293	0.144436	0.548383
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	2.462419	2.423315	0.24982	1.282429	6.823479	1.143904	2.378491	11.800778	4.803628	0.380251	0.660629	0.884102	0.431052	2.711293	0.144436	0.548383
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0.641651	0.011202	0.079400	0.509281	0.087608	0.884015	1.718530	0.000000	0.251384	0.207227	0.380303	0.747047	0.244263	0.099102	0.065098	0.472118
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	1.820768	2.412113	0.170420	0.773148	6.735871	0.259889	0.659961	11.800778	4.552244	0.173024	0.280326	0.137055	0.186789	2.612191	0.079338	0.076265
Bacteria|Proteobacteria|Epsilonproteobacteria	3.322364	1.396486	5.703275	11.189431	0.451262	1.080900	0.757732	0.201215	0.030968	3.158700	3.583471	3.424446	1.221315	0.628272	3.008727	0.043580
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	3.322364	1.396486	5.703275	11.189431	0.451262	1.080900	0.757732	0.201215	0.030968	3.158700	3.583471	3.424446	1.221315	0.628272	3.008727	0.043580
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	3.322364	1.396486	5.703275	11.189431	0.451262	1.080900	0.757732	0.201215	0.030968	3.158700	3.583471	3.424446	1.221315	0.628272	3.008727	0.043580
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter	3.322364	1.396486	5.703275	11.189431	0.451262	1.080900	0.757732	0.201215	0.030968	3.158700	3.583471	3.424446	1.221315	0.628272	3.008727	0.043580
Bacteria|Proteobacteria|Gammaproteobacteria	0.66315	0.332319	23.266262	0.262021	0.390102	0.452836	1.573751	0.383266	3.21335	1.136729	13.400768	3.372326	7.370992	0.172027	3.716663	20.618837
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	0.345632	0.04294	20.316827	0.12732	0.209928	0.405584	1.545548	0.15139	3.193312	1.086431	13.128283	2.279747	4.967363	0.029918	3.649531	16.533202
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	0.345632	0.04294	20.316827	0.12732	0.209928	0.405584	1.545548	0.15139	3.193312	1.086431	13.128283	2.279747	4.967363	0.029918	3.649531	16.533202
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia	0.339017	0.042940	7.217693	0.125475	0.209928	0.364238	1.543668	0.151390	3.189668	0.969741	10.107426	0.461354	4.749784	0.029918	3.590536	7.873472
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Morganella	0.001654	0.000000	12.281891	0.000000	0.000000	0.013782	0.000000	0.000000	0.001822	0.034202	1.883870	1.704502	0.153947	0.000000	0.018309	7.655572
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Proteus	0.004961	0.000000	0.817243	0.001845	0.000000	0.027564	0.001880	0.000000	0.001822	0.082488	1.136987	0.113891	0.063632	0.000000	0.040686	1.004158
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.317518	0.289379	2.949435	0.134701	0.180174	0.047252	0.028203	0.231876	0.020038	0.050298	0.272485	1.092579	2.403629	0.142109	0.067132	4.085635
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0.315864	0.289379	2.194163	0.131011	0.178521	0.047252	0.028203	0.231876	0.018216	0.050298	0.270525	1.090649	2.403629	0.142109	0.067132	4.074740
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	0.315864	0.289379	2.194163	0.131011	0.178521	0.047252	0.028203	0.231876	0.018216	0.050298	0.270525	1.090649	2.403629	0.142109	0.067132	4.074740
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	0.001654	0.000000	0.755272	0.003690	0.001653	0.000000	0.000000	0.000000	0.001822	0.000000	0.001960	0.001930	0.000000	0.000000	0.000000	0.010895
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	0.001654	0.000000	0.755272	0.003690	0.001653	0.000000	0.000000	0.000000	0.001822	0.000000	0.001960	0.001930	0.000000	0.000000	0.000000	0.010895
Bacteria|Verrucomicrobia	10.393755	39.415268	0.468656	0.156844	6.355687	0.352425	22.959481	7.952782	50.116584	4.196845	0.007841	7.638406	0.437210	24.568063	0.693696	35.957219
Bacteria|Verrucomicrobia|Verrucomicrobiae	10.393755	39.415268	0.468656	0.156844	6.355687	0.352425	22.959481	7.952782	50.116584	4.196845	0.007841	7.638406	0.437210	24.568063	0.693696	35.957219
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	10.393755	39.415268	0.468656	0.156844	6.355687	0.352425	22.959481	7.952782	50.116584	4.196845	0.007841	7.638406	0.437210	24.568063	0.693696	35.957219
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae	10.393755	39.415268	0.468656	0.156844	6.355687	0.352425	22.959481	7.952782	50.116584	4.196845	0.007841	7.638406	0.437210	24.568063	0.693696	35.957219
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia	10.393755	39.415268	0.468656	0.156844	6.355687	0.352425	22.959481	7.952782	50.116584	4.196845	0.007841	7.638406	0.437210	24.568063	0.693696	35.957219
